r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
2.943181818181818121e-01,-1.853132358028585891e+00,1.199193741874981178e+01,1.533187822137230538e-01,5.064318068370562642e+00,1.748413795414773264e-01,2.934987623150493025e-02,5.830450164210406738e-01,1.232837117090540069e+01,0.000000000000000000e+00,1.232837117090540069e+01,-1.692384870565857569e-01,-4.861901208023745036e-01,-1.853132358028585891e+00,1.027545445469645102e+00,1.335506794357818258e-02,0.000000000000000000e+00
3.147727272727273151e-01,-1.960954949865929997e+00,1.283925698752559619e+01,1.515599582536548140e-01,5.037184281444771372e+00,1.984923600480814898e-01,3.295549869899407069e-02,6.182143378557307667e-01,1.318516916733898192e+01,0.000000000000000000e+00,1.318516916733898370e+01,-1.447325096282339185e-01,-4.829863336568076537e-01,-1.960954949865929997e+00,1.025374742515581694e+00,1.329808699103402110e-02,0.000000000000000000e+00
3.352272727272727071e-01,-2.066862568043063675e+00,1.368874182873597789e+01,1.498579818242604389e-01,5.006793370935628928e+00,2.233873341625171038e-01,3.669097686139708575e-02,6.525567428002968517e-01,1.404196716377255960e+01,0.000000000000000000e+00,1.404196716377255783e+01,-1.170105839515408475e-01,-4.754255766783875847e-01,-2.066862568043063675e+00,1.022943469674850281e+00,1.323426607896482227e-02,0.000000000000000000e+00
3.556818181818182101e-01,-2.169915505349178098e+00,1.453994849952922586e+01,1.481448118690913973e-01,4.977043802211246870e+00,2.494639396490549721e-01,4.053389263831375100e-02,6.860534861046923005e-01,1.489876516020614261e+01,0.000000000000000000e+00,1.489876516020614261e+01,-8.625106521741249255e-02,-4.641228669842439869e-01,-2.169915505349178098e+00,1.020301803522107864e+00,1.319474818243237223e-02,0.000000000000000000e+00
3.761363636363636576e-01,-2.270363366131953775e+00,1.539251729819586956e+01,1.464419735491100938e-01,4.946702274395136101e+00,2.766751272048675325e-01,4.447253034992438431e-02,7.187268987919055441e-01,1.575556315663972029e+01,0.000000000000000000e+00,1.575556315663972207e+01,-5.252089385696868951e-02,-4.495322004078734501e-01,-2.270363366131953775e+00,1.017528587879715340e+00,1.316137250183465127e-02,0.000000000000000000e+00
3.965909090909091050e-01,-2.368279019820012543e+00,1.624616571997832537e+01,1.447550303351857193e-01,4.915450024087050451e+00,3.049721660258818412e-01,4.849414408030275347e-02,7.505907679655982045e-01,1.661236115307330152e+01,0.000000000000000000e+00,1.661236115307330152e+01,-1.582252451152850806e-02,-4.319812025327800509e-01,-2.368279019820012543e+00,1.014672132201556387e+00,1.312699502649575592e-02,0.000000000000000000e+00
4.170454545454545525e-01,-2.463594874143657520e+00,1.710067550532618341e+01,1.430797551788744737e-01,4.883529243322618285e+00,3.343027846553091598e-01,5.258488937785224526e-02,7.816478828549011659e-01,1.746915914950688276e+01,0.000000000000000000e+00,1.746915914950688276e+01,2.387375514018669556e-02,-4.117047433626486175e-01,-2.463594874143657520e+00,1.011754572839687283e+00,1.309188216765488043e-02,0.000000000000000000e+00
4.375000000000000000e-01,-2.556266563586739871e+00,1.795587869649654778e+01,1.414135146795822140e-01,4.851090814841649390e+00,3.646148279526059133e-01,5.673147620911948852e-02,8.119002638485611767e-01,1.832595714594046044e+01,0.000000000000000000e+00,1.832595714594046044e+01,6.661043695778172402e-02,-3.888722311070306192e-01,-2.556266563586739871e+00,1.008789700476526718e+00,1.305619989632581489e-02,0.000000000000000000e+00
4.579545454545454475e-01,-2.646257976712198534e+00,1.881164515910194268e+01,1.397542447235230190e-01,4.818253003652515076e+00,3.958572121738259120e-01,6.092110395765256564e-02,8.413514309861772622e-01,1.918275514237403812e+01,0.000000000000000000e+00,1.918275514237403812e+01,1.124328728598809890e-01,-3.636077480707919363e-01,-2.646257976712198534e+00,1.005788324533839928e+00,1.302007830401776672e-02,0.000000000000000000e+00
4.784090909090908950e-01,-2.733534489465038853e+00,1.966787237990838477e+01,1.381000775290157356e-01,4.785122825762590182e+00,4.279803174909241892e-01,6.514141151977038968e-02,8.700069790114519641e-01,2.003955313880761935e+01,0.000000000000000000e+00,2.003955313880761935e+01,1.613854628381424794e-01,-3.360040319932626751e-01,-2.733534489465038853e+00,1.002760226274700628e+00,1.298363510833885036e-02,0.000000000000000000e+00
