r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
3.729166666666666741e-02,-1.433144547595507277e+02,1.208705782226036263e+01,1.486656031461689453e+00,1.308175337479445943e+01,4.001097002074623793e-02,1.113483856845644215e+00
4.020833333333333204e-02,-2.395489667978556838e+02,1.334846344709378485e+01,1.515130576046505695e+00,1.058071692913610207e+01,1.042279683811352664e-01,2.999357039438098393e+00
4.312499999999999667e-02,3.936406526163252373e+00,1.474032112339700618e+01,-2.609604801434498023e-01,1.114736732623619844e+02,7.625238860038072337e-03,4.908775399546079585e-04
4.604166666666666824e-02,6.143031904841251389e+01,1.621351246559867931e+01,-1.312747479783809235e+00,1.708670640710911073e+02,7.036472903599194639e-02,-1.211339474582909109e-01
4.895833333333333287e-02,-3.360922079573428256e+00,1.771087385831605587e+01,1.875361112079063086e-01,8.403758101714308282e+01,8.705319871903103093e-03,4.901256150167793667e-03
5.187499999999999750e-02,-1.883092316805592503e+01,1.918147165695974010e+01,7.761764725876774129e-01,4.944140744163532020e+01,9.706535049416906841e-03,1.913835786265685041e-02
5.479166666666666907e-02,-2.595467345839378837e+01,2.058980937246252196e+01,9.001549057192967940e-01,4.146840125515732467e+01,1.064942187417802777e-02,2.959670595585097222e-02
5.770833333333333370e-02,-3.017679807895061117e+01,2.191794347969861434e+01,9.426249440032359317e-01,3.816548208833728495e+01,1.145948599678358985e-02,3.666528401795873110e-02
6.062499999999999833e-02,-3.313244386975806322e+01,2.316226528968839915e+01,9.606873404187691312e-01,3.626101778844369505e+01,1.220429744357088078e-02,4.167769995849693321e-02
6.354166666666666297e-02,-3.542743529516501866e+01,2.432815626052094160e+01,9.690498024544382805e-01,3.491231879007018080e+01,1.287300320923927439e-02,4.536452636225057206e-02
6.645833333333334147e-02,-3.733894560308765875e+01,2.542502458665407516e+01,9.729873630023012643e-01,3.381714797170909748e+01,1.345289481299560656e-02,4.812887800384282877e-02
6.937499999999999223e-02,-3.902690847504543825e+01,2.646284922916177251e+01,9.749428239458237666e-01,3.283554309525128900e+01,1.393576210330437111e-02,5.023506409791139021e-02
7.229166666666667074e-02,-4.060786487104758180e+01,2.745037437567667382e+01,9.763691541012669006e-01,3.188425517976085644e+01,1.431530977109484945e-02,5.189045929396756546e-02
7.520833333333333537e-02,-4.216216801741477838e+01,2.839478058043591346e+01,9.781013516957040022e-01,3.091544235092559489e+01,1.458781989143950568e-02,5.323780483752364040e-02
7.812500000000000000e-02,-4.379072932665037143e+01,2.930288015493101739e+01,9.810715155334135407e-01,2.987569928117114415e+01,1.474764164237393413e-02,5.445514197078587387e-02
8.104166666666667851e-02,-4.561975401440955125e+01,3.018456303098988514e+01,9.862709923071512064e-01,2.870822598896837974e+01,1.479010050986886635e-02,5.575934815160353553e-02
8.395833333333332926e-02,-4.783120147846818071e+01,3.106052401865068191e+01,9.948585761141366390e-01,2.734662846322191143e+01,1.471482598481455017e-02,5.746235031997388998e-02
8.687500000000000777e-02,-5.073616532785433719e+01,3.197850432186562131e+01,1.008401913307142683e+00,2.570108718414881821e+01,1.452939420673952584e-02,6.011452362542650529e-02
8.979166666666665853e-02,-5.495792675251266957e+01,3.304412761834430512e+01,1.029449206006448847e+00,2.362560092491075636e+01,1.424275503579922053e-02,6.487901166825761623e-02
9.270833333333333703e-02,-6.201883738109307842e+01,3.446323754620041768e+01,1.063595218056442748e+00,2.079961332985195099e+01,1.376441105590241534e-02,7.481108610547131110e-02
9.562500000000000167e-02,-7.745803775971451444e+01,3.653388044215856922e+01,1.130076419884718408e+00,1.612095583074304272e+01,1.396122093539640605e-02,9.862806522787873065e-02
9.854166666666666630e-02,-1.498361248943986368e+02,3.940553539235111913e+01,1.313628809405491316e+00,4.734613374270125519e+00,3.356937390407609134e-02,1.807060264443619557e-01
3.145833333333333121e-02,-1.434240371478193765e+02,1.489000884873778574e+01,1.467348838838958391e+00,1.592710446110567091e+01,-2.717470553473778916e-02,1.050625894883634892e+00
3.437500000000000278e-02,-7.671801130839315874e+01,1.545414199658934251e+01,1.372015711547269756e+00,2.051972508531157757e+01,-1.667570286345435721e-02,2.398449978225363766e-01
3.729166666666666741e-02,-6.348816807608178436e+01,1.606873243563897447e+01,1.322903970804319318e+00,2.246405533703200774e+01,-3.319153625277564135e-03,1.634540476904090822e-01
4.020833333333333204e-02,-5.787391952018466412e+01,1.678101533812955637e+01,1.288577497525337900e+00,2.356125216409495238e+01,1.882878636575248399e-03,1.342626823377776613e-01
4.312499999999999667e-02,-5.597472708472490410e+01,1.763968836463768497e+01,1.265511185908351655e+00,2.401328925129053005e+01,4.577756402926198148e-03,1.233688756984672175e-01
4.604166666666666824e-02,-5.915242772968915830e+01,1.868815569800052856e+01,1.264787691125525138e+00,2.318517723145492937e+01,5.048794135875472877e-03,1.334573770796194381e-01
4.895833333333333287e-02,-8.130891979927559987e+01,1.995346942860614448e+01,1.330148717360706945e+00,1.857070106614384031e+01,-6.480739729582581099e-03,2.351905886205573892e-01
5.187499999999999750e-02,-2.062482468480374109e+02,2.143252993448201593e+01,1.467251790663031574e+00,9.845708390256589837e+00,1.484417781665939295e-01,1.834895357739661170e+00
5.479166666666666907e-02,-1.399943149664310340e+02,2.308229903997541399e+01,1.407386276764055033e+00,1.240618445765841216e+01,1.029598477761497488e-01,8.746999406709508040e-01
5.770833333333333370e-02,4.788126726438956382e+01,2.482291952034783122e+01,-1.092516390421997885e+00,1.547704912635256278e+02,5.782098350805359166e-02,-5.576162878173247794e-02
6.062499999999999833e-02,3.070517367259065367e+01,2.655678413431590101e+01,-8.577176404214130745e-01,1.404479486361534555e+02,3.773190651498173342e-02,-2.223316566149811935e-02
6.354166666666666297e-02,-1.220224721830876291e+01,2.819538901664166985e+01,4.084373014035197480e-01,6.703304904256123109e+01,1.789825202491774139e-02,1.613661181411743875e-02
6.645833333333334147e-02,-2.465774053069106486e+01,2.967982498508743916e+01,6.932361859856892572e-01,4.984570972857816429e+01,1.913012764846194411e-02,3.104067817110372357e-02
6.937499999999999223e-02,-3.102566354734936027e+01,3.098635649705105877e+01,7.860320251069344843e-01,4.365933457316453570e+01,1.999505895968600733e-02,4.040650252485625260e-02
7.229166666666667074e-02,-3.511454424554015219e+01,3.211939598431254694e+01,8.299168882837903993e-01,4.027535191123030245e+01,2.048748010276706805e-02,4.642066349815274912e-02
7.520833333333333537e-02,-3.820401630382099967e+01,3.310010333971374052e+01,8.568557852693168275e-01,3.786230159183064359e+01,2.068702097448066324e-02,5.051425654427110778e-02
7.812500000000000000e-02,-4.082234681199035009e+01,3.395758917841570224e+01,8.769410490179818662e-01,3.584193553123372311e+01,2.064496219194273188e-02,5.344797247833873999e-02
8.104166666666667851e-02,-4.326766489362745460e+01,3.472597010964951636e+01,8.944812739950808167e-01,3.396738945094470097e+01,2.040707434633083281e-02,5.572062095764906964e-02
8.395833333333332926e-02,-4.579982256899392468e+01,3.544852900609507174e+01,9.121186037669222202e-01,3.208727967574644424e+01,2.002016186091302996e-02,5.780118788359746296e-02
8.687500000000000777e-02,-4.874169865144497749e+01,3.619079114923539464e+01,9.321114664712117914e-01,3.007220780501484825e+01,1.953933411584694163e-02,6.028385673999729633e-02
8.979166666666665853e-02,-5.263402166210924094e+01,3.706525668453786437e+01,9.572523199456282050e-01,2.776217779018266185e+01,1.903207968042449141e-02,6.417638343428966330e-02
9.270833333333333703e-02,-5.877024315908992946e+01,3.826259628747253316e+01,9.936805809346869189e-01,2.480542696311723461e+01,1.851977528889700228e-02,7.196804426017822109e-02
9.562500000000000167e-02,-7.159135390665211673e+01,4.003893171157780984e+01,1.060863527883442847e+00,2.008656243031090582e+01,1.738277197863995899e-02,9.304829588057257628e-02
9.854166666666666630e-02,-1.298578696628161140e+02,4.252187427534708775e+01,1.254350677037864958e+00,8.131000176352955577e+00,4.270669638912265309e-02,1.906908632241809398e-01
