r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm,  misc
7.394736842105262831e-01,-3.983201384578639814e+00,3.053450452055796305e+01,1.297167035960252457e-01,3.595558129376063228e+00,1.897688591778136535e+00,2.738514490027372794e-01,1.072952243673959360e+00,3.097500125118357417e+01,0.000000000000000000e+00
7.868421052631578982e-01,-4.003157234244390850e+00,3.264073442243162049e+01,1.220335760404180209e-01,3.730213356217465304e+00,2.156508627005313983e+00,2.940416020821308707e-01,1.140472942495868613e+00,3.295916503239818240e+01,0.000000000000000000e+00
8.342105263157895134e-01,-3.845443521038478529e+00,3.545228272715914386e+01,1.080457396990124469e-01,4.226101787544163102e+00,2.627160214857752862e+00,3.198919937740941632e-01,1.278898079003673249e+00,3.494332881361278709e+01,0.000000000000000000e+00
8.815789473684210176e-01,-3.234706103415589951e+00,4.114479245232403315e+01,7.845625734902164639e-02,5.615898688619921586e+00,3.884738962830201370e+00,3.606080699657701616e-01,1.628935426520310648e+00,3.692749259482739177e+01,0.000000000000000000e+00
9.289473684210526327e-01,1.068524160830802927e+01,4.907522441226840471e+01,-2.143858815884666924e-01,2.208896175776612125e+01,4.404996880404754123e+00,1.247542796375511465e-03,1.476780625682267090e+00,3.891165637604199645e+01,0.000000000000000000e+00
9.763157894736842479e-01,-8.119725406471831164e+00,1.231317696556303609e+01,5.829785234478864764e-01,-2.390220894033239318e+01,1.519490610772959716e-01,1.074469408870958181e-01,2.173296260560274862e-01,4.089582015725660824e+01,0.000000000000000000e+00
1.236842105263157993e-01,-1.101175642812896260e+00,5.066729739821583145e+00,2.140065301834310485e-01,2.738329032250337747e+00,5.992949330786685735e-02,1.397193861972752769e-02,2.045078785385414655e-01,5.180872095393694643e+00,0.000000000000000000e+00
1.710526315789473728e-01,-1.342399301341519191e+00,6.975673155200933451e+00,1.901159789160359326e-01,3.801601234557443476e+00,1.269703580913459917e-01,2.620581294450888277e-02,3.144953742521032214e-01,7.165035876608300214e+00,0.000000000000000000e+00
2.184210526315789602e-01,-1.629318942000375525e+00,8.890606317647524293e+00,1.812517008202012281e-01,4.003931402323477329e+00,2.072683266395904111e-01,4.083001393484779473e-02,4.027470779566759695e-01,9.149199657822906673e+00,0.000000000000000000e+00
2.657894736842105199e-01,-1.925042853484155936e+00,1.082544148160527087e+01,1.759861815702375709e-01,4.000067876735730721e+00,3.018581913531138139e-01,5.781466339341016086e-02,4.816782093607218096e-01,1.113336343903751136e+01,0.000000000000000000e+00
