r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w,  misc
5.500000000000000444e-01,-3.532402123241809022e+00,2.269686625192661467e+01,1.543952818709753150e-01,3.403801972060401582e+00,4.306004855001369647e-01,7.312260505789784648e-02,8.450082808550318791e-01,2.303834612632515189e+01,0.000000000000000000e+00,2.303834612632515189e+01,2.859347892524183310e-01,-2.292224672681020814e-01,-3.532402123241809022e+00,0.000000000000000000e+00
5.683673469387755528e-01,-3.611821916558019652e+00,2.346372991751038484e+01,1.527333152681167872e-01,3.384442310762558748e+00,4.556814237489937858e-01,7.661483765322595063e-02,8.649840748542069191e-01,2.380771575577571397e+01,0.000000000000000000e+00,2.380771575577571042e+01,3.521620429694301557e-01,-1.938797823330436210e-01,-3.611821916558019652e+00,0.000000000000000000e+00
5.867346938775510612e-01,-3.688296496269995117e+00,2.423021759322767466e+01,1.510592883093861971e-01,3.365773656955608928e+00,4.811922431011202428e-01,8.008828775085773122e-02,8.844972185568117373e-01,2.457708538522627606e+01,0.000000000000000000e+00,2.457708538522627606e+01,4.211550883599850525e-01,-1.573744225319912982e-01,-3.688296496269995117e+00,0.000000000000000000e+00
6.051020408163265696e-01,-3.761659971720479057e+00,2.499623381822744506e+01,1.493682209716711284e-01,3.348081344945772031e+00,5.071274855208561805e-01,8.353613527536868366e-02,9.035846675201631983e-01,2.534645501467683459e+01,0.000000000000000000e+00,2.534645501467683459e+01,4.927251653150784838e-01,-1.199255972607751464e-01,-3.761659971720479057e+00,0.000000000000000000e+00
6.234693877551020780e-01,-3.831698591175767277e+00,2.576169201125983932e+01,1.476538205731150188e-01,3.331725918845251044e+00,5.334909708827051400e-01,8.695172595756757439e-02,9.222948880448934572e-01,2.611582464412740023e+01,0.000000000000000000e+00,2.611582464412740379e+01,5.665576864392649625e-01,-8.181490905267416180e-02,-3.831698591175767277e+00,0.000000000000000000e+00
6.418367346938775864e-01,-3.898135943998664921e+00,2.652653042726196020e+01,1.459080350074026255e-01,3.317168730362096696e+00,5.602996890393737717e-01,9.032862603944274982e-02,9.406921084626936880e-01,2.688519427357795877e+01,0.000000000000000000e+00,2.688519427357795877e+01,6.421387710896714340e-01,-4.341034409253781423e-02,-3.898135943998664921e+00,0.000000000000000000e+00
6.602040816326530948e-01,-3.960613830548548542e+00,2.729074157215706720e+01,1.441204589877468079e-01,3.305005958513834941e+00,5.875895208942040204e-01,9.366073748972075785e-02,9.588623056006850831e-01,2.765456390302851730e+01,0.000000000000000000e+00,2.765456390302851730e+01,7.186426002287804593e-01,-5.197342638443246815e-03,-3.960613830548548542e+00,0.000000000000000000e+00
6.785714285714286031e-01,-4.018666855701808593e+00,2.805442523250999542e+01,1.422775081438951150e-01,3.296015930383278558e+00,6.154239001716769186e-01,9.694252342954867707e-02,9.769219468231943315e-01,2.842393353247907939e+01,0.000000000000000000e+00,2.842393353247907584e+01,7.947594308303114197e-01,3.218313842097376976e-02,-4.018666855701808593e+00,0.000000000000000000e+00
6.969387755102041115e-01,-4.071687202840752917e+00,2.881788337331293448e+01,1.403612066408122805e-01,3.291228585451166921e+00,6.439074193031131266e-01,1.001694327247363986e-01,9.950313325158347544e-01,2.919330316192964503e+01,0.000000000000000000e+00,2.919330316192964503e+01,8.684329302936696360e-01,6.789255404424489326e-02,-4.071687202840752917e+00,0.000000000000000000e+00
7.153061224489796199e-01,-4.118873063300677373e+00,2.958179014778185589e+01,1.383473099587561317e-01,3.292033032375050183e+00,6.732080608435955238e-01,1.033386819073545959e-01,1.013415901716382406e+00,2.996267279138020356e+01,0.000000000000000000e+00,2.996267279138020712e+01,9.364571929831621011e-01,1.008584188310621826e-01,-4.118873063300677373e+00,0.000000000000000000e+00
