r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
3.779411764705882804e-01,-1.986435583532964344e+00,1.562497155867942311e+01,1.264537478079327815e-01,4.724430916690735671e+00,2.142897387168425372e-01,3.352798432099323572e-02,4.244955234558568380e-01,1.583116297985445087e+01,0.000000000000000000e+00,1.583116297985445087e+01,-2.061914211750280890e-01,1.753828735862225097e-01,-1.986435583532964344e+00,5.940541388607112339e-01,1.708313795577722990e-02,9.672407791059318697e+04,5.800000000000000000e+01
4.044117647058823595e-01,-2.073698294439683565e+00,1.673050017311575033e+01,1.233182365127245411e-01,4.601052177491462558e+00,2.393149971001677367e-01,3.656114647670338780e-02,4.426769327198057935e-01,1.693996038700378648e+01,0.000000000000000000e+00,1.693996038700378648e+01,-2.094602138880377051e-01,1.033818907162563083e-01,-2.073698294439683565e+00,5.844737615049245827e-01,1.653549639100383023e-02,1.025201852381499484e+05,3.000000000000000000e+00
4.308823529411764386e-01,-2.153782176258848935e+00,1.783795332525671640e+01,1.201598874039825210e-01,4.478981948620982756e+00,2.648963223429031677e-01,3.948994761477055832e-02,4.595081805491786908e-01,1.804875779415312564e+01,0.000000000000000000e+00,1.804875779415312564e+01,-2.108044688964076929e-01,2.684350711841622383e-02,-2.153782176258848935e+00,5.748955218191410532e-01,1.600188823200648924e-02,1.081911734628026607e+05,2.000000000000000000e+00
4.573529411764705732e-01,-2.226477865670666301e+00,1.894690448390941384e+01,1.169749665642666886e-01,4.358434167789660307e+00,2.909061307745128278e-01,4.228772151334691393e-02,4.750232072792056615e-01,1.915755520130246481e+01,0.000000000000000000e+00,1.915755520130246481e+01,-2.106507173930513843e-01,-5.291195053973104384e-02,-2.226477865670666301e+00,5.653411399905644563e-01,1.548258800117108605e-02,1.137343753694108309e+05,4.000000000000000000e+02
4.838235294117647078e-01,-2.291805207143636114e+00,2.005695147978375559e+01,1.137714440378542607e-01,4.238952185097875969e+00,3.171688804908863735e-01,4.493108202468572981e-02,4.891769563774812091e-01,2.026635260845180397e+01,0.000000000000000000e+00,2.026635260845180397e+01,-2.094011286680500239e-01,-1.353560317160356630e-01,-2.291805207143636114e+00,5.557359039918612353e-01,1.498355426197517382e-02,1.191475301817277505e+05,1.000000000000021373e+03
5.102941176470587870e-01,-2.349130946990264146e+00,2.116778038196165213e+01,1.105244721790108881e-01,4.121959665777043647e+00,3.434744370075820674e-01,4.740374218431078757e-02,5.018855482878583629e-01,2.137515001560113959e+01,0.000000000000000000e+00,2.137515001560113959e+01,-2.073696336394885154e-01,-2.204242886293416581e-01,-2.349130946990264146e+00,5.459742516585147643e-01,1.453813101129170643e-02,1.244285494318603742e+05,0.000000000000000000e+00
5.367647058823530326e-01,-2.399406398213004721e+00,2.227917092086559592e+01,1.072837837875438155e-01,4.004607130294846051e+00,3.696945071994460208e-01,4.968021360103862250e-02,5.131878065752895068e-01,2.248394742275048586e+01,0.000000000000000000e+00,2.248394742275048586e+01,-2.047765018848890506e-01,-3.082183407937604813e-01,-2.399406398213004721e+00,5.360878282974743669e-01,1.410115997952649664e-02,1.295769912790969393e+05,0.000000000000000000e+00
5.632352941176470562e-01,-2.442654371382888101e+00,2.339097485007295774e+01,1.040500855740228436e-01,3.886854087118287282e+00,3.956846835252729733e-01,5.174443335414923711e-02,5.230961582015430933e-01,2.359274482989982147e+01,0.000000000000000000e+00,2.359274482989982147e+01,-2.017699798268647871e-01,-3.988442072541674710e-01,-2.442654371382888101e+00,5.260767281685987395e-01,1.367260437252408589e-02,1.345922177861124801e+05,0.000000000000000000e+00
5.897058823529410798e-01,-2.478918749588627346e+00,2.450309035482836251e+01,1.008245541478430957e-01,3.768633121494897154e+00,4.213025469467139850e-01,5.358296455070084285e-02,5.316227561057991213e-01,2.470154223704915353e+01,0.000000000000000000e+00,2.470154223704915353e+01,-1.984518822207913535e-01,-4.923585357704939880e-01,-2.478918749588627346e+00,5.159387688686661866e-01,1.325238048438721374e-02,1.394738885064948699e+05,0.000000000000000000e+00
6.161764705882353255e-01,-2.507024120754894447e+00,2.561544218479940582e+01,9.756087733426818676e-02,3.652597725577141574e+00,4.463654390626616841e-01,5.519002974063029476e-02,5.387319078652632598e-01,2.581033964419849980e+01,0.000000000000000000e+00,2.581033964419849980e+01,-1.948974593990948079e-01,-5.887695121219653771e-01,-2.507024120754894447e+00,5.056281368205749471e-01,1.287502287083108418e-02,1.442211568414173962e+05,0.000000000000000000e+00
