theta2_rad,w4_over_w2,MA,tau4_Nm,Ax,Ay,Bx,By,Cx,Cy,Dx,Dy
1.6388349162944293,0.5413646055885124,1.847183930528501,-0.1847183930528501,5.376763328534239,0.8346210243202234,5.376763328534241,0.8346210243202252,5.378301867070188,0.8347258661417072,5.378301867070187,0.8347258661417074
1.623249808605113,0.542135277559197,1.8445580676878341,-0.18445580676878343,5.376668776927263,0.8333959089922143,5.3766687769272625,0.8333959089922143,5.378207953911187,0.83347671830979,5.378207953911186,0.83347671830979
1.607664700915795,0.5428311586896939,1.8421934407999667,-0.18421934407999668,5.378760005707881,0.832692677712588,5.378760005707882,0.8326926777125848,5.380299538576936,0.8327494635179183,5.38029953857694,0.8327494635179182
1.5920795932264784,0.5434514041002814,1.840090930771564,-0.1840090930771564,5.383068262526927,0.8325134272150212,5.383068262526928,0.8325134272150191,5.384607870394467,0.8325462000480659,5.384607870394469,0.8325462000480657
1.5764944855371614,0.5439951291652534,1.8382517533465317,-0.18382517533465317,5.389628205973775,0.8328611556190655,5.389628205973775,0.8328611556190648,5.391167609627743,0.8328699274803916,5.391167609627742,0.8328699274803917
1.5609093778478444,0.544461399742957,1.836677495359827,-0.18366774953598272,5.398478171058297,0.8337398075328597,5.398478171058295,0.8337398075328608,5.4000170929699935,0.8337245917946944,5.400017092969992,0.8337245917946955
1.545324270158528,0.5448492392812199,1.8353700948894185,-0.18353700948894186,5.409660208923443,0.835154280459764,5.409660208923445,0.8351542804597659,5.411198373242644,0.8351150917752024,5.411198373242642,0.8351150917752028
1.5297391624692107,0.5451576217119225,1.8343318705877503,-0.18343318705877504,5.423220340721116,0.8371104698852383,5.423220340721114,0.8371104698852386,5.424757473277435,0.8370473240958712,5.424757473277436,0.8370473240958708
1.5141540547798937,0.5453854705628203,1.8335655311243115,-0.18335655311243115,5.439208738267158,0.8396153025667585,5.439208738267157,0.8396153025667576,5.440744566568684,0.8395282166084169,5.440744566568683,0.8395282166084168
1.4985689470905772,0.5455316542946065,1.8330741985871353,-0.18330741985871354,5.45767997422521,0.8426767830623048,5.4576799742252105,0.8426767830623045,5.459214227459461,0.8425657748685823,5.459214227459461,0.8425657748685826
1.48298383940126,0.5455949889654477,1.8328614085994284,-0.18328614085994285,5.4786931848571045,0.8463040263784478,5.478693184857106,0.8463040263784504,5.480225593883775,0.8461691147824644,5.480225593883775,0.8461691147824654
1.467398731711943,0.5455742320137347,1.8329311417604217,-0.1832931141760422,5.502312377835017,0.8505073170600888,5.502312377835017,0.8505073170600892,5.503842675182735,0.8503485216937539,5.503842675182735,0.8503485216937544
1.4518136240226263,0.5454680871430639,1.8332878193435405,-0.18332878193435406,5.528606600465406,0.8552981456857625,5.528606600465407,0.8552981456857609,5.5301345203166985,0.855115486877801,5.530134520316699,0.8551154868778005
1.4362285163333088,0.5452751850043569,1.833936382034348,-0.1833936382034348,5.557650479344707,0.8606893105918996,5.557650479344707,0.8606893105918996,5.559175757542692,0.8604828092609176,5.559175757542695,0.8604828092609176
1.4206434086439919,0.5449941020696514,1.8348822422158946,-0.18348822422158947,5.589524231569918,0.8666949306873164,5.589524231569918,0.8666949306873168,5.59104660559301,0.8664646082356936,5.59104660559301,0.8664646082356945
1.405058300954675,0.54462334464489,1.836131355426985,-0.1836131355426985,5.6243142055782736,0.8733305508338489,5.624314205578272,0.8733305508338486,5.625833414531302,0.8730764290371168,5.625833414531303,0.8730764290371179
