DP, DL, sigma_main, Re_min, lambda_p, pitch_small, thrust_main, thrust_small, torque_main, torque_small, moment_created, power_required, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_MAIN_HIGH, STALL_MAIN_LOW, STALL_SMALL_HIGH, STALL_SMALL_LOW, main_RPM, small_RPM, disk_loading
DP12,17.1887338539247,0.07,110000.0,0.0825,65.0,60.02582315760222,4.757970892336005,5.018462516023058,0.2602750200610969,5.015341686855185,218.04749091658456,141.09011024351477,31.479605869793033,172.5697161133078,159.02685230094212,0.27528784167741455,0.729322092322442,0.0,0.0,0.0,0.0,335.3125,8000.0,17.196131643646243
DP13,17.1887338539247,0.07,110000.0,0.0825,65.0,60.251285073567956,4.971978612605743,5.175875078078229,0.2698329365237752,5.240925631159371,224.28865984824438,144.40352343316593,31.265823638821143,175.66934707198706,159.92366997001898,0.26863277489969617,0.7130261069740427,0.0,0.0,0.0,0.011494252873563218,329.84375,7906.25,17.260721724775095
DP14,17.1887338539247,0.07,110000.0,0.0825,69.0,60.03148679562102,4.725478419760789,5.018565557545543,0.286115679449011,4.981091613472438,211.60636995763704,141.09447695956808,31.47901196137873,172.57348892094683,159.0493599082762,0.28369413835528273,0.7516284124155497,0.0,0.0,0.0,0.0,335.3125,7093.75,17.197754156422082
DP15,17.1887338539247,0.07,110000.0,0.0825,69.0,60.28486387326931,5.243709202424531,5.179315074618184,0.3120300378503303,5.527354822415481,230.77219589784602,144.5540238267996,31.26075253436083,175.81477636116043,160.0573798071733,0.2612310535882542,0.6935730675199041,0.0,0.0,0.0,0.0,329.84375,7031.25,17.270341342295108
DP16,17.1887338539247,0.09,90000.0,0.0675,65.0,59.931324126633015,5.487015984074147,5.460791259757192,0.21727907049936218,5.7838226891414966,224.68993417137625,143.67623912504962,27.065185239424345,170.74142436447397,158.65146468088227,0.26672901190545545,0.7060906634111838,0.0,0.0,0.0,0.0,302.5,9812.5,17.16905966543319
DP17,17.1887338539247,0.09,90000.0,0.0675,65.0,68.67920479828393,21.196443997991665,5.826673524836782,0.6793938286471597,22.34301377661972,971.5869529637416,162.45612985342697,26.51546583733519,188.97159569076217,194.62613723969173,0.07068765650751482,0.20031777562059844,0.0,0.0,0.034482758620689655,0.0,298.671875,13656.25,19.675142876281516
DP18,17.1887338539247,0.09,90000.0,0.0675,69.0,52.42301266238401,4.467104008953978,4.766362408859081,0.19873919632814474,4.7087410710545905,170.39759477213613,116.07954084777143,23.034607502658833,139.11414835043027,129.79149636609765,0.30765113047802456,0.7616979367558626,0.0,0.0,0.0,0.0,283.90625,8218.75,15.01808687457739
DP19,17.1887338539247,0.09,90000.0,0.0675,69.0,53.93373737528624,4.58469909998561,5.031611458804002,0.2041384537658312,4.832697180826188,175.02688027763986,123.25256021102507,23.639176211706243,146.8917364227313,135.4422158566517,0.3081454533711209,0.7738366566427043,0.0,0.0,0.0,0.0,283.90625,8218.75,15.450877624854446
DP20,17.1887338539247,0.09,90000.0,0.0825,65.0,45.9320784916024,3.9318514222579837,4.1675113347574,0.19906948968702912,4.144535305235896,142.01683719308735,93.9383540759714,19.829773767729137,113.76812784370054,106.44797978927991,0.32342699217524984,0.7495447856267373,0.0,0.0,0.0,0.0,266.40625,6843.75,13.158571209162213
DP21,17.1887338539247,0.09,90000.0,0.0825,65.0,47.24596417168893,4.042278127370999,4.400320498364128,0.2046474717399993,4.260935272790859,145.99618817413446,99.78895215275483,20.333695004885165,120.12264715763999,111.04790012338302,0.32361094328940365,0.7606219142580115,0.0,0.0,0.0,0.0,266.40625,6843.75,13.534971730320386
DP22,17.1887338539247,0.09,90000.0,0.0825,69.0,45.94487658256472,3.9215838293632856,4.166051570507985,0.21991702473349464,4.133712312024361,139.61729542151394,93.8843749337554,19.830660608019418,113.71503554177481,106.49247241399668,0.32907725682447914,0.76274556166189,0.0,0.0,0.0,0.0,266.40625,6093.75,13.16223759215204
DP23,17.1887338539247,0.09,90000.0,0.0825,69.0,376.94664390822084,72.01747707092878,-402.7274531628432,0.6675057162207343,75.91308629436217,908.7134568672583,70102.79369722298,11.757541462972025,70114.55123868595,2502.551926873903,0.41481353782051883,2.753950552797269,0.06802721088435375,0.027210884353741496,0.45977011494252873,0.0842911877394636,290.46875,13000.0,107.98725898780893
DP24,17.1887338539247,0.09,110000.0,0.0675,65.0,211.6102729334486,22.878399678271627,-495.28074221981456,0.7378388059692957,24.115950734333932,1042.4913946038187,41408.90630849772,18.75812146744099,41427.66442996516,1052.612194977581,0.20298515079241258,1.0097082819351317,0.12244897959183673,0.0,0.05747126436781609,0.0,299.21875,13519.53125,60.62187770349024
DP25,17.1887338539247,0.09,110000.0,0.0675,65.0,60.70911859691684,5.027604673758777,5.665174735174835,0.20947898112294178,5.29956064799517,205.655508805488,148.3982889167383,27.305524537525258,175.70381345426355,161.74995467189515,0.2951981152828559,0.7865092241457078,0.0,0.0,0.0,0.0,299.21875,9437.5,17.39188136781257
DP26,17.1887338539247,0.09,110000.0,0.0675,69.0,49.17912105969474,4.192492921835575,4.472440367402646,0.19311413578319142,4.419275569044897,155.4632747595188,105.03574240647649,21.372800505676402,126.40854291215288,117.93274850279109,0.31633915557078257,0.7585891181387855,0.0,0.0,0.0,0.0,275.15625,7718.75,14.088780384417271
DP27,17.1887338539247,0.09,110000.0,0.0675,69.0,47.43204421426135,4.389159878703337,4.429821333312347,0.1997364778503397,4.626580743776971,158.17993505775212,100.91336478937555,20.304175153750315,121.21753994312587,111.70459529193461,0.2998613205710555,0.7061868830022646,0.0,0.0,0.0,0.0,266.40625,7531.25,13.588279735775458
DP28,17.1887338539247,0.09,110000.0,0.0825,65.0,60.636770397602234,5.346144068528232,5.4981860748727325,0.27732501227793793,5.635330651982838,219.6256432682455,145.05571619902773,27.589050589328554,172.6447667883563,161.46090013439306,0.2760914868376364,0.7351641535646571,0.0,0.0,0.0,0.0,303.59375,7531.25,17.37115513543208
DP29,17.1887338539247,0.09,110000.0,0.0825,65.0,60.61572088155132,5.184170713885049,5.6347521041333675,0.2704077144841077,5.464595745005949,210.607907971698,147.0331320172142,27.347118512705737,174.38025052991995,161.3768328560378,0.2878131285065374,0.7662429887377448,0.0,0.0,0.0,0.0,299.21875,7468.75,17.36512489327953
